,index,coffee_name,total_score,roaster_location,coffee_origin,roast_level,est_price,agtron_ground,agtron_roast,price_per_ounce,origin_country,roast_level2,roast_level_count,total_score2,total_score_count
611,612,Ethiopia COE #8 Sidama Arbegona Muluneh Tute Galcho 74158 Natural,95.0,"Yilan, Taiwan","Sidamo growing region, southern Ethiopia",Light,NT $1700/200 grams,63.0,82.0,59.9647266313933,Ethiopia,,,,
612,613,Chelbessa Ethiopia,94.0,"Madison, Wisconsin","Yirgacheffe growing region, southern Ethiopia",Medium Light,$20.00/12 ounces,60.0,78.0,20.0,Ethiopia,,,,
613,614,Ka’u Tropical Punch,94.0,"Minneapolis, Minnesota","Ka'u growing region, Big Island of Hawai’i",Medium Light,$25.00/4 ounces,60.0,78.0,25.0,,,,,
614,615,Ethiopia Gesha Village Illubabor Forest Lot 22/043 (Single-Terroir) Natural Process,94.0,"Taipei, Taiwan","Bench-Maji Zone, Southern Ethiopia",Light,NT $299/100 grams,64.0,84.0,10.54673721340388,Ethiopia,,,,
615,616,Ethiopia Gera Genji Challa,94.0,"San Diego, California","Agaro Gera, Jimma Zone, Oromia State, Ethiopia",Medium Light,$28.00/12 ounces,59.0,77.0,28.0,Ethiopia,,,,
616,617,Kenya Gotomboya Peaberry,94.0,"San Diego, California","Nyeri growing region, south-central Kenya",Medium Light,$27.00/12 ounces,59.0,77.0,27.0,Kenya,,,,
617,618,Panama Hartmann Estate Chicho Gallo Amaro Gayo Natural BOP#1,94.0,"Taipei, Taiwan","Chiriqui Province, far western Panama",Medium Light,NT $549/100 grams,60.0,78.0,19.365079365079364,Panama,,,,
618,619,Kenya Ichamama,94.0,"San Diego, California","Nyeri growing region, south-central Kenya",Medium Light,$28.00/12 ounces,59.0,77.0,28.0,Kenya,,,,
619,620,Ethiopia Uchoro Nansebo Washed,95.0,"Floyd, Virginia","Yirgacheffe growing region, southern Ethiopia",Light,$27.00/12 ounces,60.0,82.0,27.0,Ethiopia,,,,
620,621,Nekisse Phantom Roasting,95.0,"Hong Kong, China","Sidamo growing region, south-central Ethiopia",Light,HKD $650/150 grams,64.0,83.0,,Ethiopia,,,,
621,622,Colombia Finca Samboni Gesha Anaerobic Natural,94.0,"Floyd, Virginia","Algeciras, Huila Department, Colombia",Medium Light,$30.00/12 ounces,62.0,78.0,30.0,Colombia,,,,
622,623,Kambera Inari Roasting,94.0,"Hong Kong, China","Piedra Candela, Panama",Light,HKD $530/150 grams,62.0,80.0,,Panama,,,,
623,624,Colombia Don Correa Gesha,94.0,"Lexington, Virginia","San Jose, Caldas, Colombia",Light,$32.95/12 ounces,62.0,80.0,32.95,Colombia,,,,
624,625,Ethiopia BergWu Maker Series Yirgacheffe Wuri G1 Lot MW21/02,94.0,"Hong Kong, China","Yirgacheffe growing region, southern Ethiopia",Medium Light,HKD $128/200 grams,62.0,78.0,,Ethiopia,,,,
625,626,Mexico Finca Santa Cruz COE#1b,94.0,"Macao, China","La Concordia, Chiapas State, Mexico",Light,HKD $498/100 grams,64.0,84.0,,Mexico,,,,
626,627,Wilton Benitez Geisha,95.0,"Madison, Wisconsin","Piendamó, Cauca Department, Colombia",Medium Light,$25.00/8 ounces,59.0,81.0,25.0,Colombia,,,,
627,628,Colombia Cerro Azul Geisha,95.0,"San Diego, California","Trujillo, Valle del Cauca Department, Colombia",Light,$59.00/8 ounces,62.0,80.0,59.0,Colombia,,,,
628,629,Yirgacheffe Mengesha Natural,94.0,"Glendale, California","Yirgacheffe growing region, southern Ethiopia",Medium Light,$20.50/12 ounces,60.0,77.0,20.5,Ethiopia,,,,
629,630,Panama Geisha Finca Debra Symbiosis,94.0,"Redding, California","Volcan growing region, western Panama",Light,$45.00/4 ounces,62.0,80.0,45.0,Panama,,,,
630,631,Panama Geisha Finca Debra Echo,94.0,"Redding, California","Volcan growing region, western Panama",Light,$40.00/200 grams,64.0,80.0,1.4109347442680775,Panama,,,,
631,632,Ethiopia Hamasho Washed,95.0,"Minnesota, Minnesota","Bombe Mountains, Sidama Region, Ethiopia",Light,$25.00/12 ounces,62.0,81.0,25.0,Ethiopia,,,,
632,633,Ethiopia Idido Anaerobic Natural,95.0,"Minneapolis, Minnesota","Yirgacheffe growing region, southern Ethiopia",Medium Light,$20.00/6 ounces,61.0,80.0,20.0,Ethiopia,,,,
633,634,Mexico Cup of Excellence #7,94.0,"Manlius, New York","Coatepec, Veracruz State, Mexico",Light,$40.00/12 ounces,62.0,80.0,40.0,Mexico,,,,
634,635,Ethiopia Reko Yirgacheffe,94.0,"Sacramento, California","Yirgacheffe growing region, southern Ethiopia",Medium Light,$23.50/12 ounces,60.0,76.0,23.5,Ethiopia,,,,
635,636,Double-Anaerobic Fermentation Tamiru Tadesse,94.0,"Big Lake, Alaska","Sidamo growing region, south-central Ethiopia",Light,$40.00/10 ounces,62.0,80.0,40.0,Ethiopia,,,,
